D:\Sandra\Metapanda\laser\Laser-Ni-Xlens-H2He-12072022-Calibration7.b\2.5ppm-cal7-2.d,,,,,,,,,,,,,,,,,,,
Intensity Vs Time,CPS,,,,,,,,,,,,,,,,,,
Acquired      : 2022-07-12 17:25:28 using Batch Laser-Ni-Xlens-H2He-12072022-Calibration7.b,,,,,,,,,,,,,,,,,,,
Time [Sec],Cr53,Co59,Ni60,Cu63,Zn64,Ge72,As75,Se78,Mo98,Rh103,Cd111,Sb121,Te126,Gd157,Pt195,Hg202,Tl205,Pb208,U238
119.953,83.33,187.5,16.67,500.01,362.5,1050.03,0,12.5,50,3100.29,60,3650.41,1333.39,500.01,116.67,216.67,0,983.37,983.37
121.271,33.33,262.5,83.33,450.01,350,600.01,12.5,25,0,2983.6,30,2650.22,900.03,633.35,216.67,116.67,50,966.7,966.7
122.59,33.33,237.5,33.33,587.51,437.51,1033.37,12.5,50,83.33,2783.57,10,2800.24,1183.38,616.68,116.67,300,16.67,900.03,1133.38
123.908,0,162.5,66.67,587.51,487.51,800.02,0,25,33.33,3083.62,50,2850.25,1316.72,516.68,100,200,66.67,1383.4,1333.39
125.226,16.67,287.5,50,562.51,450.01,850.02,0,12.5,116.67,3600.39,60,3066.96,1483.4,633.35,50,250,16.67,1400.06,1233.38
126.544,33.33,200,66.67,437.51,375,1000.03,0,0,66.67,3250.32,30,2933.6,1350.06,716.68,166.67,200,0,883.36,1000.03
127.862,33.33,337.5,116.67,500.01,500.01,1166.71,0,12.5,33.33,4250.55,60,3317.01,1416.73,900.03,250,183.33,33.33,1300.06,1000.03
129.18,50,237.5,66.67,425.01,537.51,683.35,12.5,0,16.67,3617.06,80,3183.65,1350.06,516.68,66.67,300,0,983.37,1166.71
130.498,33.33,237.5,100,662.51,462.51,866.69,25,0,16.67,4233.88,80,2916.93,1366.72,800.02,116.67,250,0,833.36,816.69
131.816,50,175,150,487.51,500.01,783.35,12.5,0,0,3450.36,30,2533.53,916.69,616.68,166.67,100,0,1233.38,1050.04
133.134,50,275,33.33,575.01,537.51,833.35,0,12.5,0,3000.27,10,2766.9,950.03,716.68,83.33,216.67,33.33,966.7,1233.38
134.452,33.33,150,83.33,300,437.51,1016.7,25,37.5,66.67,3917.13,60,3450.37,1333.39,666.68,183.33,200,16.67,1316.72,1966.8
135.77,66.67,175,83.33,637.51,462.51,700.01,12.5,12.5,33.33,3433.69,10,3033.62,1183.38,616.68,166.67,300,16.67,1033.37,866.69
137.088,16.67,300,33.33,550.01,550.01,883.36,0,0,33.33,3500.37,40,2833.58,1033.37,483.34,133.33,100,33.33,1266.72,1383.4
138.406,66.67,312.5,16.67,500.01,637.51,600.01,0,0,50,3583.72,100,2633.55,1266.72,516.68,133.33,316.67,0,766.69,933.36
139.724,33.33,362.5,66.67,650.01,325,683.35,12.5,0,66.67,2816.91,110,3567.06,1400.06,516.68,66.67,133.33,33.33,1450.07,1000.03
